record_id,app_name,publisher,platform,source_kind,niche,keyword,rating,review_count,pricing_type,source_url,feature_tags,monetization_tags,pillar_count,whitespace_score,evidence_quality
"CMP-000001","Subway Surfers","Sybo Games ApS","ios","app_store_search","gaming","mobile games","4.64777","3727320","free","https://apps.apple.com/us/app/subway-surfers/id512939461?uo=4","habits_streaks|social_community","freemium_likely","1","2","high"
"CMP-000002","Call of Duty®: Mobile","Activision Publishing, Inc.","ios","app_store_search","gaming","mobile games","4.6706","1991797","free","https://apps.apple.com/us/app/call-of-duty-mobile/id1287282214?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000003","Among Us!","InnerSloth LLC","ios","app_store_search","gaming","mobile games","4.05457","832687","free","https://apps.apple.com/us/app/among-us/id1351168404?uo=4","gaming_progression|social_community","freemium_likely","1","1","high"
"CMP-000004","Crossy Road","HIPSTER WHALE","ios","app_store_search","gaming","mobile games","4.6676","723242","free","https://apps.apple.com/us/app/crossy-road/id924373886?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000005","Magic Tiles 3™: Piano Game","Amanotes Pte. Ltd.","ios","app_store_search","gaming","mobile games","4.61782","760443","free","https://apps.apple.com/us/app/magic-tiles-3-piano-game/id1443446174?uo=4","photo_video_generation|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","2","high"
"CMP-000006","Geometry Dash Lite","RobTop Games AB","ios","app_store_search","gaming","mobile games","4.30098","246782","free","https://apps.apple.com/us/app/geometry-dash-lite/id698255242?uo=4","habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000007","Roblox","Roblox Corporation","ios","app_store_search","gaming","mobile games","4.51961","18852783","free","https://apps.apple.com/us/app/roblox/id431946152?uo=4","avatar_identity|photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000008","Block Blast！","Hungry Studio","ios","app_store_search","gaming","mobile games","4.87723","2490516","free","https://apps.apple.com/us/app/block-blast/id1617391485?uo=4","habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","4","high"
"CMP-000009","slither.io","Lowtech Studios LLC","ios","app_store_search","gaming","mobile games","3.7446","2639","free","https://apps.apple.com/us/app/slither-io/id1091944550?uo=4","gaming_progression|social_community","freemium_likely","1","1","high"
"CMP-000010","Paper.io 2","Voodoo","ios","app_store_search","gaming","mobile games","4.54284","2699750","free","https://apps.apple.com/us/app/paper-io-2/id1423046460?uo=4","gaming_progression|social_community","freemium_likely","1","1","high"
"CMP-000011","8 Ball Pool™","Miniclip.com","ios","app_store_search","gaming","mobile games","4.75221","4683643","free","https://apps.apple.com/us/app/8-ball-pool/id543186831?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000012","Fill The Fridge!","Rollic Games","ios","app_store_search","gaming","mobile games","4.59211","454700","free","https://apps.apple.com/us/app/fill-the-fridge/id1605936806?uo=4","habits_streaks|mindfulness|gaming_progression","iap_likely|freemium_likely","2","4","high"
"CMP-000013","Bowmasters - Multiplayer Games","Playgendary Limited","ios","app_store_search","gaming","mobile games","4.54085","1937400","free","https://apps.apple.com/us/app/bowmasters-multiplayer-games/id1118431695?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000014","Temple Run","Imangi Studios, LLC","ios","app_store_search","gaming","mobile games","4.42195","411477","free","https://apps.apple.com/us/app/temple-run/id420009108?uo=4","habits_streaks|gaming_progression|social_community","iap_likely|freemium_likely","1","2","high"
"CMP-000015","Wordscapes - Word Game","PeopleFun, Inc.","ios","app_store_search","gaming","mobile games","4.82916","1100789","free","https://apps.apple.com/us/app/wordscapes-word-game/id1207472156?uo=4","habits_streaks|mindfulness|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","4","high"
"CMP-000016","Helix Jump","Voodoo","ios","app_store_search","gaming","mobile games","4.59328","1510089","free","https://apps.apple.com/us/app/helix-jump/id1345968745?uo=4","","freemium_likely","0","0","high"
"CMP-000017","Pokémon GO","Niantic, Inc.","ios","app_store_search","gaming","mobile games","4.00149","640893","free","https://apps.apple.com/us/app/pok%C3%A9mon-go/id1094591345?uo=4","gaming_progression","freemium_likely","1","1","high"
"CMP-000018","BitLife - Life Simulator","Candywriter, LLC","ios","app_store_search","gaming","mobile games","4.75849","1774365","free","https://apps.apple.com/us/app/bitlife-life-simulator/id1374403536?uo=4","photo_video_generation|social_community","freemium_likely","1","1","high"
"CMP-000019","Rise Up! Protect the Balloon","AI Games FZ","ios","app_store_search","gaming","mobile games","4.35634","832239","free","https://apps.apple.com/us/app/rise-up-protect-the-balloon/id1354452189?uo=4","ai|photo_video_generation|habits_streaks|gaming_progression","subscription_likely|freemium_likely","2","4","high"
"CMP-000020","Candy Crush Saga","King","ios","app_store_search","gaming","mobile games","4.70617","3928435","free","https://apps.apple.com/us/app/candy-crush-saga/id553834731?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000021","Discord - Talk, Play, Hang Out","Discord Inc.","ios","app_store_search","gaming","mobile games","4.70101","3443757","free","https://apps.apple.com/us/app/discord-talk-play-hang-out/id985746746?uo=4","avatar_identity|photo_video_generation|social_community","subscription_likely|freemium_likely","1","1","high"
"CMP-000022","PUBG MOBILE","Tencent Mobile International Limited","ios","app_store_search","gaming","mobile games","4.31942","1582463","free","https://apps.apple.com/us/app/pubg-mobile/id1330123889?uo=4","photo_video_generation|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","4","high"
"CMP-000023","Hole.io","Voodoo","ios","app_store_search","gaming","mobile games","4.59023","1970984","free","https://apps.apple.com/us/app/hole-io/id1389111413?uo=4","photo_video_generation|gaming_progression","freemium_likely","2","2","high"
"CMP-000024","aquapark.io","Voodoo","ios","app_store_search","gaming","mobile games","4.60325","2766956","free","https://apps.apple.com/us/app/aquapark-io/id1453989822?uo=4","","freemium_likely","0","0","high"
"CMP-000025","Flow Free","Big Duck Games LLC","ios","app_store_search","gaming","mobile games","4.78454","394091","free","https://apps.apple.com/us/app/flow-free/id526641427?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression","iap_likely|freemium_likely","3","5","high"
"CMP-000026","Fruit Ninja®","Halfbrick Studios","ios","app_store_search","gaming","mobile games","4.74936","362103","free","https://apps.apple.com/us/app/fruit-ninja/id403858572?uo=4","habits_streaks|gaming_progression|social_community","iap_likely|freemium_likely","1","2","high"
"CMP-000027","Bike Race: Free Style Games","Wildlife Studios","ios","app_store_search","gaming","mobile games","4.84212","617816","free","https://apps.apple.com/us/app/bike-race-free-style-games/id510461758?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
