record_id,app_name,niche,platform,source_kind,keyword,feature_tags,audience_tags,pillar_count,whitespace_score,whitespace_band,source_url,evidence_quality
"CMP-000001","Subway Surfers","gaming","ios","app_store_search","mobile games","habits_streaks|social_community","","1","2","low","https://apps.apple.com/us/app/subway-surfers/id512939461?uo=4","high"
"CMP-000002","Call of Duty®: Mobile","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/call-of-duty-mobile/id1287282214?uo=4","high"
"CMP-000003","Among Us!","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","casual_gamers","1","1","low","https://apps.apple.com/us/app/among-us/id1351168404?uo=4","high"
"CMP-000004","Crossy Road","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/crossy-road/id924373886?uo=4","high"
"CMP-000005","Magic Tiles 3™: Piano Game","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/magic-tiles-3-piano-game/id1443446174?uo=4","high"
"CMP-000006","Geometry Dash Lite","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression","casual_gamers","1","2","low","https://apps.apple.com/us/app/geometry-dash-lite/id698255242?uo=4","high"
"CMP-000007","Roblox","gaming","ios","app_store_search","mobile games","avatar_identity|photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/roblox/id431946152?uo=4","high"
"CMP-000008","Block Blast！","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/block-blast/id1617391485?uo=4","high"
"CMP-000009","slither.io","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","","1","1","low","https://apps.apple.com/us/app/slither-io/id1091944550?uo=4","high"
"CMP-000010","Paper.io 2","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","casual_gamers","1","1","low","https://apps.apple.com/us/app/paper-io-2/id1423046460?uo=4","high"
"CMP-000011","8 Ball Pool™","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/8-ball-pool/id543186831?uo=4","high"
"CMP-000012","Fill The Fridge!","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/fill-the-fridge/id1605936806?uo=4","high"
"CMP-000013","Bowmasters - Multiplayer Games","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/bowmasters-multiplayer-games/id1118431695?uo=4","high"
"CMP-000014","Temple Run","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","","1","2","low","https://apps.apple.com/us/app/temple-run/id420009108?uo=4","high"
"CMP-000015","Wordscapes - Word Game","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/wordscapes-word-game/id1207472156?uo=4","high"
"CMP-000016","Helix Jump","gaming","ios","app_store_search","mobile games","","","0","0","low","https://apps.apple.com/us/app/helix-jump/id1345968745?uo=4","high"
"CMP-000017","Pokémon GO","gaming","ios","app_store_search","mobile games","gaming_progression","casual_gamers","1","1","low","https://apps.apple.com/us/app/pok%C3%A9mon-go/id1094591345?uo=4","high"
"CMP-000018","BitLife - Life Simulator","gaming","ios","app_store_search","mobile games","photo_video_generation|social_community","coaching_professionals","1","1","low","https://apps.apple.com/us/app/bitlife-life-simulator/id1374403536?uo=4","high"
"CMP-000019","Rise Up! Protect the Balloon","gaming","ios","app_store_search","mobile games","ai|photo_video_generation|habits_streaks|gaming_progression","casual_gamers","2","4","medium","https://apps.apple.com/us/app/rise-up-protect-the-balloon/id1354452189?uo=4","high"
"CMP-000020","Candy Crush Saga","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/candy-crush-saga/id553834731?uo=4","high"
"CMP-000021","Discord - Talk, Play, Hang Out","gaming","ios","app_store_search","mobile games","avatar_identity|photo_video_generation|social_community","gen_z_creator_identity","1","1","low","https://apps.apple.com/us/app/discord-talk-play-hang-out/id985746746?uo=4","high"
"CMP-000022","PUBG MOBILE","gaming","ios","app_store_search","mobile games","photo_video_generation|mindfulness|gaming_progression|social_community","anxious_stressed_users","3","4","medium","https://apps.apple.com/us/app/pubg-mobile/id1330123889?uo=4","high"
"CMP-000023","Hole.io","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression","","2","2","low","https://apps.apple.com/us/app/hole-io/id1389111413?uo=4","high"
"CMP-000024","aquapark.io","gaming","ios","app_store_search","mobile games","","","0","0","low","https://apps.apple.com/us/app/aquapark-io/id1453989822?uo=4","high"
"CMP-000025","Flow Free","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/flow-free/id526641427?uo=4","high"
"CMP-000026","Fruit Ninja®","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/fruit-ninja/id403858572?uo=4","high"
"CMP-000027","Bike Race: Free Style Games","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/bike-race-free-style-games/id510461758?uo=4","high"
"CMP-000028","Minion Rush: Running game","gaming","ios","app_store_search","mobile games","avatar_identity|habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/minion-rush-running-game/id596402997?uo=4","high"
"CMP-000029","Clash of Clans","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/clash-of-clans/id529479190?uo=4","high"
"CMP-000030","Trivia Crack: Brain Quiz Games","gaming","ios","app_store_search","mobile games","ai|photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","2","4","medium","https://apps.apple.com/us/app/trivia-crack-brain-quiz-games/id651510680?uo=4","high"
"CMP-000031","Sniper 3D: Gun Shooting Games","gaming","ios","app_store_search","mobile games","gaming_progression","","1","1","low","https://apps.apple.com/us/app/sniper-3d-gun-shooting-games/id930574573?uo=4","high"
"CMP-000032","Jetpack Joyride","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","casual_gamers","1","1","low","https://apps.apple.com/us/app/jetpack-joyride/id457446957?uo=4","high"
"CMP-000033","Clash Royale","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","1","2","low","https://apps.apple.com/us/app/clash-royale/id1053012308?uo=4","high"
"CMP-000034","Sonic Dash: Fun Endless Runner","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/sonic-dash-fun-endless-runner/id582654048?uo=4","high"
"CMP-000035","Super Mario Run","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression|social_community","self_improvement_users","2","3","low","https://apps.apple.com/us/app/super-mario-run/id1145275343?uo=4","high"
"CMP-000036","Rolling Sky","gaming","ios","app_store_search","mobile games","","","0","0","low","https://apps.apple.com/us/app/rolling-sky/id1036661603?uo=4","high"
"CMP-000037","Fortnite","gaming","ios","app_store_search","mobile games","social_community","","0","0","low","https://apps.apple.com/us/app/fortnite/id6483539426?uo=4","high"
"CMP-000038","Count Masters: Crowd Runner 3D","gaming","ios","app_store_search","mobile games","gaming_progression","casual_gamers","1","1","low","https://apps.apple.com/us/app/count-masters-crowd-runner-3d/id1568245971?uo=4","high"
"CMP-000039","Angry Birds 2","gaming","ios","app_store_search","mobile games","manifestation_spirituality|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/angry-birds-2/id880047117?uo=4","high"
"CMP-000040","Mario Kart Tour","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression|social_community","self_improvement_users","2","3","low","https://apps.apple.com/us/app/mario-kart-tour/id1293634699?uo=4","high"
"CMP-000041","UNO!™","gaming","ios","app_store_search","mobile games","tarot_or_oracle|photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","3","4","medium","https://apps.apple.com/us/app/uno/id1344700142?uo=4","high"
"CMP-000042","Episode - Choose Your Story","gaming","ios","app_store_search","mobile games","avatar_identity|habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/episode-choose-your-story/id656971078?uo=4","high"
"CMP-000043","Tomb of the Mask: Pixel Maze","gaming","ios","app_store_search","mobile games","manifestation_spirituality|photo_video_generation|gaming_progression","casual_gamers","3","3","low","https://apps.apple.com/us/app/tomb-of-the-mask-pixel-maze/id1057889290?uo=4","high"
"CMP-000044","Dumb Ways to Die","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression","casual_gamers","2","2","low","https://apps.apple.com/us/app/dumb-ways-to-die/id639930688?uo=4","high"
"CMP-000045","Cooking Fever: Restaurant Game","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers|coaching_professionals","2","3","low","https://apps.apple.com/us/app/cooking-fever-restaurant-game/id714796093?uo=4","high"
"CMP-000046","The Sims™ FreePlay","gaming","ios","app_store_search","mobile games","photo_video_generation|coaching|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|self_improvement_users|casual_gamers|coaching_professionals","4","5","medium","https://apps.apple.com/us/app/the-sims-freeplay/id466965151?uo=4","high"
"CMP-000047","Brain Test: Tricky Puzzles","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/brain-test-tricky-puzzles/id1486214495?uo=4","high"
"CMP-000048","Stack","gaming","ios","app_store_search","mobile games","","","0","0","low","https://apps.apple.com/us/app/stack/id1080487957?uo=4","high"
"CMP-000049","EA SPORTS™ NBA LIVE Mobile","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression|social_community","self_improvement_users","2","3","low","https://apps.apple.com/us/app/ea-sports-nba-live-mobile/id1055502792?uo=4","high"
"CMP-000050","EA SPORTS FC Soccer Mobile 26","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression|social_community","self_improvement_users|casual_gamers","2","3","low","https://apps.apple.com/us/app/ea-sports-fc-soccer-mobile-26/id1094930513?uo=4","high"
"CMP-000051","AMAZE!!!","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","1","2","low","https://apps.apple.com/us/app/amaze/id1452526406?uo=4","high"
"CMP-000052","Minecraft: Play with Friends!","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","2","2","low","https://apps.apple.com/us/app/minecraft-play-with-friends/id479516143?uo=4","high"
"CMP-000053","Temple Run 2: Endless Escape","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression","anxious_stressed_users","3","5","medium","https://apps.apple.com/us/app/temple-run-2-endless-escape/id572395608?uo=4","high"
"CMP-000054","Xbox","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/xbox/id736179781?uo=4","high"
"CMP-000055","Piano Tiles 2™: Fun Piano Game","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/piano-tiles-2-fun-piano-game/id1027688889?uo=4","high"
"CMP-000056","PlayStation App","gaming","ios","app_store_search","mobile games","habits_streaks|social_community","","1","2","low","https://apps.apple.com/us/app/playstation-app/id410896080?uo=4","high"
"CMP-000057","Hungry Shark Evolution","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/hungry-shark-evolution/id535500008?uo=4","high"
"CMP-000058","Brawl Stars","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression|social_community","self_improvement_users|casual_gamers","2","3","low","https://apps.apple.com/us/app/brawl-stars/id1229016807?uo=4","high"
"CMP-000059","Homescapes: Match 3 Games","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/homescapes-match-3-games/id1195621598?uo=4","high"
"CMP-000060","Plants vs. Zombies™ 2","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression","casual_gamers","2","3","low","https://apps.apple.com/us/app/plants-vs-zombies-2/id597986893?uo=4","high"
"CMP-000061","Solitaire","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/solitaire/id359917414?uo=4","high"
"CMP-000062","Kick the Buddy","gaming","ios","app_store_search","mobile games","manifestation_spirituality|habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/kick-the-buddy/id1278869953?uo=4","high"
"CMP-000063","CSR 2 - Realistic Drag Racing","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity","2","3","low","https://apps.apple.com/us/app/csr-2-realistic-drag-racing/id887947640?uo=4","high"
"CMP-000064","Madden NFL 26 Mobile Football","gaming","ios","app_store_search","mobile games","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","3","4","medium","https://apps.apple.com/us/app/madden-nfl-26-mobile-football/id1512265589?uo=4","high"
"CMP-000065","Township","gaming","ios","app_store_search","mobile games","avatar_identity|photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/township/id638689075?uo=4","high"
"CMP-000066","Tiles Hop: Music Ball Smash","gaming","ios","app_store_search","mobile games","manifestation_spirituality|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","3","5","medium","https://apps.apple.com/us/app/tiles-hop-music-ball-smash/id1344702806?uo=4","high"
"CMP-000067","My Talking Tom","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity","2","3","low","https://apps.apple.com/us/app/my-talking-tom/id657500465?uo=4","high"
"CMP-000068","Marvel Contest of Champions","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/marvel-contest-of-champions/id896112560?uo=4","high"
"CMP-000069","Mortal Kombat","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/mortal-kombat/id949701151?uo=4","high"
"CMP-000070","Pixel Gun 3D: Online Shooter","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","1","2","low","https://apps.apple.com/us/app/pixel-gun-3d-online-shooter/id640111933?uo=4","high"
"CMP-000071","Snake VS Block","gaming","ios","app_store_search","mobile games","habits_streaks|social_community","","1","2","low","https://apps.apple.com/us/app/snake-vs-block/id1233739175?uo=4","high"
"CMP-000072","2048","gaming","ios","app_store_search","mobile games","","","0","0","low","https://apps.apple.com/us/app/2048/id840919914?uo=4","high"
"CMP-000073","NBA 2K Mobile Basketball Game","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/nba-2k-mobile-basketball-game/id1252850847?uo=4","high"
"CMP-000074","Dragon City: Battle Adventure!","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/dragon-city-battle-adventure/id561941526?uo=4","high"
"CMP-000075","Royal Match","gaming","ios","app_store_search","mobile games","gaming_progression","casual_gamers","1","1","low","https://apps.apple.com/us/app/royal-match/id1482155847?uo=4","high"
"CMP-000076","Hill Climb Racing","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression","casual_gamers","2","3","low","https://apps.apple.com/us/app/hill-climb-racing/id564540143?uo=4","high"
"CMP-000077","Chess - Play & Learn Online","gaming","ios","app_store_search","mobile games","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","casual_gamers","3","4","medium","https://apps.apple.com/us/app/chess-play-learn-online/id329218549?uo=4","high"
"CMP-000078","Need for Speed No Limits Game","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/need-for-speed-no-limits-game/id883393043?uo=4","high"
"CMP-000079","Project Makeover","gaming","ios","app_store_search","mobile games","ai|avatar_identity|gaming_progression|social_community","gen_z_creator_identity|self_improvement_users|casual_gamers|coaching_professionals","2","3","low","https://apps.apple.com/us/app/project-makeover/id1483058899?uo=4","high"
